krs,status_code,error,name_discovery,source_codes
0000174268,204,not_found_or_deregistered,"""CONRAD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000175444,204,not_found_or_deregistered,"""POLPRO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000176141,204,not_found_or_deregistered,"""M.MEBLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000177158,204,not_found_or_deregistered,"""CEMPOL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000178861,204,not_found_or_deregistered,"""CONCEPT PRODUIT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000179295,204,not_found_or_deregistered,"""POWIERNIK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000182260,204,not_found_or_deregistered,"""KRAF EWA RACHWAŁ SPÓŁKA JAWNA""",16.10.Z:main
0000182356,204,not_found_or_deregistered,"""IMO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000182566,204,not_found_or_deregistered,"""DREWNO - JAROCIN"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000182873,204,not_found_or_deregistered,"""SEEGER-DACH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000183598,204,not_found_or_deregistered,"""BKB SZRENICA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000185265,204,not_found_or_deregistered,"""ROMINES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000185322,204,not_found_or_deregistered,"""ALKA-MAR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000186249,204,not_found_or_deregistered,"""HOLZ-KOMPLEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000186983,204,not_found_or_deregistered,"""PRIED"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
