krs,status_code,error,name_discovery,source_codes
0000068902,204,not_found_or_deregistered,VOIGT & HAEFFNER POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000069507,204,not_found_or_deregistered,WINDPOWER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000071280,204,not_found_or_deregistered,"""G&J ECOLOGY POLSKA"" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000071687,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO ""VICTOR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000071853,204,not_found_or_deregistered,PRZEDSIĘBIORSTWO SPECJALISTYCZNE EKO-PORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000072452,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWEGO ""RINGPOL"" MAREK IWANOWSKI, WALDEMAR KUBIAK SPÓŁKA JAWNA",16.10.Z:main
0000073167,204,not_found_or_deregistered,"""EXWOOD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000073576,204,not_found_or_deregistered,MAJSTER - CHORĄŻAKOWIE SPÓŁKA JAWNA,16.10.Z:main
0000073675,204,not_found_or_deregistered,"""TAXUS"" A. BOGDANOWICZ, P. BOGDANOWICZ SPÓŁKA JAWNA",16.10.Z:main
0000074400,204,not_found_or_deregistered,"""TRANSBET"" MARIUSZ GROCHOWICZ SPÓŁKA JAWNA",16.10.Z:main
0000074694,204,not_found_or_deregistered,"""ENERGOMONTAŻ-PÓŁNOC SERWIS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000074892,204,not_found_or_deregistered,FERMA KRĄPLEWICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000075006,204,not_found_or_deregistered,"MEBLARSKA SPÓŁDZIELNIA INWALIDÓW ""ZRYW""",16.10.Z:main
